129890.0143,7786.101896,9353.989036,9102.562758,9201.450691,9213.822907,9662.001498,8819.970964,8972.574136,9113.31059,9428.652946,8906.095547,8878.989139,9051.621483,9251.005108,9838.415558,9862.648922,9467.712514,9311.472483,8831.516122,9439.327764,8963.16916,9096.933201,9847.856324,9953.035683,9625.638457,9400.064981,9902.865686,9705.939357,9733.714542,9721.762299,9712.062786,9755.473354,10001.87197,10602.53802,10854.44909,10318.59656,10529.29488,10420.64735,10552.29201,10510.54522,10334.0635,10659.86259,11262.11062,10880.533
mse,rmse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12349.52393,111.1284119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
