8944.719013,7779.958398,7674.40972,8100.638762,8199.973503,8836.237523,8299.097796,8794.699664,9087.497408,9517.277674,9300.706772,9201.38166,9511.332362,9809.317689,10641.88342,11238.29011,10522.10957,10738.93282,10566.55683,11117.44895,10690.34412,11334.23929,12152.20613,12293.30395,11407.25806,11639.11589,13029.13551,12659.50056,12800.88795,12748.95583,13116.336,12979.77098,13168.34817,14623.69157,14560.51731,14083.5631,14503.15153,13934.22135,14638.70336,14325.8373,14627.22877,15327.39796,15505.25475,15545.61934
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mse,rmse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11581.29678,107.6164336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
