caseNumber,steps,temperature,intensityOfUse,humidity,degradationState,degradationAfterTreatment,productionVolume,treatment,cumulativeProduction
0,0,9.144722735539185,6.928472141042901,17.003121904230916,109.22544460582553,,1978.1549110788346,0,1978.1549110788346
0,1,9.286005961052561,7.854030918679737,14.974123859388406,12.881842214151229,-204.75609171741309,1797.681268401453,1,3775.8361794802877
0,2,13.78853369356371,8.553801260249369,20.943642247084334,155.07853642256757,,1968.9842927154868,0,5744.8204721957745
0,3,8.615947407315321,9.66079496931206,17.681566200777006,223.3683203906289,,1955.3263359218743,0,7700.146808117649
0,4,12.360198012774287,8.25148810768063,23.498147801231006,333.6186014570455,,1933.2762797085911,0,9633.42308782624
0,5,8.403526931060306,7.772005953087056,20.391581256359494,426.6526223060355,,1914.669475538793,0,11548.092563365033
0,6,12.451818491399829,1.7919771571947507,15.733882695987987,487.39079646118864,,1902.521840707762,0,13450.614404072796
0,7,21.204105615605343,13.110983164842715,15.763326264536897,557.8605619777633,,1888.4278876044475,0,15339.042291677242
0,8,6.561426026919561,7.136581926994222,24.303407471356238,651.4419587902385,,1869.7116082419523,0,17208.753899919197
0,9,6.552300302069072,8.84181410999983,22.844929743944864,710.5412902878685,,1857.8917419424263,0,19066.64564186162
0,10,7.7917893742348445,10.4378656623732,16.103244242601498,588.675634082066,-213.92265280990466,1694.038385865228,1,20760.68402772685
0,11,11.567099520935692,3.7904342374143773,19.315335646474487,757.2937696215367,,1848.541246075693,0,22609.22527380254
0,12,16.066676375222915,10.934963622954408,18.81345826924794,573.1299674009289,-197.66056605087294,1696.8366058678328,1,24306.061879670375
0,13,7.18490955617775,7.155015395343108,25.96265167608335,656.6820197628425,,1868.6635960474316,0,26174.725475717805
0,14,14.605460644113649,2.871893974646474,10.249690145601912,758.9611426448585,,1848.2077714710283,0,28022.933247188834
0,15,15.675090877458146,4.2195495891436625,14.71950183081505,613.8457797110078,-231.03808492275084,1689.5077596520186,1,29712.441006840854
0,16,7.475535903603404,1.9663958353153577,20.203816572434512,463.8318332572557,-198.08665509274243,1716.510270013694,1,31428.951276854546
0,17,9.466912130003399,11.566552751454548,21.118847089183795,692.1849680799338,,1861.5630063840135,0,33290.51428323856
0,18,7.896575278819164,10.426767993489785,23.075113230934594,600.847669045044,-218.55044650893,1691.8474195718923,1,34982.361702810456
0,19,8.189559614172754,10.642094789241943,16.967868334904615,421.85993980160345,-212.22883205298513,1724.0652108357117,1,36706.426913646166
0,20,23.679003082216347,7.5316157143961995,20.491547202217724,274.5511348341272,-244.2937841552622,1750.5807957298575,1,38457.00770937602
0,21,5.286729192417983,7.1233890190707445,16.651301390895355,337.2465861350941,,1932.5506827729814,0,40389.558392149
0,22,11.581664609499933,7.7239725984667,15.600604625793913,206.61196934241568,-184.10495680563164,1762.8098455183651,1,42152.36823766737
0,23,18.218668570706456,4.417435624362211,18.457840630065878,85.38169582476107,-217.5442381358482,1784.6312947515432,1,43936.999532418915
0,24,7.262497832933642,9.530815891846768,20.243849750395437,0.0,-154.884834073463,1800.0,1,45736.999532418915
0,25,10.151939084904985,7.308861871221988,14.796562258643645,0.0,-141.28842089120707,1800.0,1,47536.999532418915
0,26,13.175945596698188,10.539973983090928,16.224964633671153,0.0,-57.811158274476234,1800.0,1,49336.999532418915
0,27,5.667389774190843,9.781548108213922,17.286851960930846,0.0,-69.69643672890679,1800.0,1,51136.999532418915
0,28,6.22022757834365,11.110359935129637,27.86309836741294,49.336143933579415,,1990.1327712132843,0,53127.1323036322
0,29,14.047691005414432,8.23268408962266,17.010316065656156,0.0,-140.04569644713757,1800.0,1,54927.1323036322
0,30,13.597334511067237,11.093913712756118,19.20300903013123,77.44602491816286,,1984.5107950163674,0,56911.643098648565
0,31,17.825655444241207,10.779354331011877,20.04415369179281,0.0,-182.80152463302505,1800.0,1,58711.643098648565
0,32,5.92812015736372,6.674046916340749,20.127174941988265,0.0,-48.21754435664485,1800.0,1,60511.643098648565
0,33,-1.0161092365214337,12.470149693625332,29.29276808031203,0.0,-71.08902079990025,1800.0,1,62311.643098648565
0,34,5.794880911621653,10.110253368651618,31.44613520043605,0.0,-133.04500895037984,1800.0,1,64111.643098648565
0,35,12.206057531307568,12.283155092568347,13.199694849085065,104.39180854260424,,1979.121638291479,0,66090.76473694004
0,36,6.518160747103399,12.593089153964502,23.308123977757283,0.0,-182.5404115097764,1800.0,1,67890.76473694004
0,37,0.9888113093672057,9.77524879231853,25.359860472556228,0.0,-132.5990217265596,1800.0,1,69690.76473694004
0,38,13.09030453617693,8.618431134457087,16.765727399067117,141.5898826946532,,1971.6820234610695,0,71662.44676040112
0,39,4.525039926276702,10.406297646251973,20.531817419567183,0.0,-179.0447617112804,1800.0,1,73462.44676040112
0,40,13.349622632562582,12.386129978465997,17.66404319137025,0.0,-71.9377756677867,1800.0,1,75262.44676040112
0,41,12.881810990593745,6.7609419121418455,18.350943596792725,101.2520914691272,,1979.7495817061747,0,77242.19634210729
0,42,7.194791901436993,10.198692805626706,28.118084908366193,146.7826287242054,,1970.643474255159,0,79212.83981636245
0,43,5.719711810187484,5.895145213479212,13.032211659084876,274.99312450355905,,1945.0013750992885,0,81157.84119146173
0,44,10.447161855009407,12.781507788792673,23.643416178115732,164.44100282544863,-202.16859019746934,1770.4006194914195,1,82928.24181095316
0,45,10.417982468998101,8.865445858189332,22.125599488148886,280.40886901978547,,1943.918226196043,0,84872.1600371492
0,46,14.099124945585412,8.575370959311956,10.874944561848698,175.64901421961866,-209.26120225030752,1768.383177440469,1,86640.54321458966
0,47,4.2225097795740805,8.630693562580225,29.09407302941706,21.080366060873914,-234.3938734018738,1796.205534109043,1,88436.74874869871
